birth,death,dim
0.000000000000000000e+00,3.021766198799014091e-03,0.000000000000000000e+00
0.000000000000000000e+00,4.405897483229637146e-02,0.000000000000000000e+00
0.000000000000000000e+00,6.931809335947036743e-02,0.000000000000000000e+00
0.000000000000000000e+00,8.754989504814147949e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.071339324116706848e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.305542588233947754e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.439493894577026367e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.441515982151031494e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.545985043048858643e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.564465165138244629e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.570733636617660522e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.571423113346099854e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.707334816455841064e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.708112806081771851e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.730078011751174927e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.759254932403564453e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.888682842254638672e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.932764202356338501e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.969975382089614868e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.047900557518005371e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.142239362001419067e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.161538302898406982e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.242695540189743042e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.267560958862304688e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.305901944637298584e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.323891073465347290e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.385584115982055664e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.412848770618438721e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.419420778751373291e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.488966435194015503e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.511099576950073242e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.531432807445526123e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.644864618778228760e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.647231221199035645e-01,0.000000000000000000e+00
